University of Texas at San Antonio Schedule of Classes

These are the search criteria you submitted :
Term: Fall 2019
Subject:     CS 
Course Number: %%
Attributes: Any
Part of Term: Any
Time Blocks: Any
Campus: Any

FALL 2019 (202010)
Status,Subject,Course,Section,CRN,Title,Cred,Meeting Days,Times,Campus,Location,Instructor,Date,Weeks,Seats,Enrolled,Available,Final Exam,Fees,Notes,Comments
OPEN,CS,1173,006,25103,Data Analysis and Visual (Q),  3,TR,11:30-12:45pm,Main Camp,BB 3.01.08,Senseman, David M.,08/26-12/13,17,40,39,1,Tue  Dec 10  09:45 am - 12:15 pm  ,   $42,O,This section will use R programming language and environment instead of MATLAB.  Course satisfies UTSA quantitative scholarship requirement.
OPEN,CS,1711,001,12173,Computer Prog II Recitation,  1,T,4:00-4:50pm,Main Camp,NPB 1.226,Yuen, Timothy T.,08/26-12/13,17,40,38,2,To be determined by instructor ,   $10,O,Concurrent enrollment in CS 1713.001 is required.
OPEN,CS,1711,002,10431,Computer Prog II Recitation,  1,R,4:00-4:50pm,Main Camp,NPB 1.226,Yuen, Timothy T.,08/26-12/13,17,40,26,14,To be determined by instructor ,   $10,O,Concurrent enrollment in CS 1713.001 is required.
OPEN,CS,1711,003,24642,Computer Prog II Recitation,  1,M,10:00-10:50am,Main Camp,NPB 1.226,Desai, Kevin,08/26-12/13,17,40,27,13,To be determined by instructor ,   $10,O,Concurrent enrollment in CS 1713.002 is required.
OPEN,CS,1711,004,17273,Computer Prog II Recitation,  1,W,10:00-10:50am,Main Camp,NPB 1.226,Desai, Kevin,08/26-12/13,17,40,25,15,To be determined by instructor ,   $10,O,Concurrent enrollment in CS 1713.002 is required.
OPEN,CS,1711,005,16285,Computer Prog II Recitation,  1,M,2:00-2:50pm,Main Camp,NPB 1.226,Desai, Kevin,08/26-12/13,17,40,33,7,To be determined by instructor ,   $10,O,Concurrent enrollment in CS 1713.003 is required.
OPEN,CS,1711,006,16286,Computer Prog II Recitation,  1,W,2:00-2:50pm,Main Camp,NPB 1.226,Desai, Kevin,08/26-12/13,17,40,24,16,To be determined by instructor ,   $10,O,Concurrent enrollment in CS 1713.003 is required.
CANCELED,CS,1711,009,23017,Computer Prog II Recitation,  1,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,40,0,40,To be determined by instructor ,   $10,O,Concurrent enrollment in CS 1713.004 is required.
CANCELED,CS,1711,010,24756,Computer Prog II Recitation,  1,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,40,0,40,To be determined by instructor ,   $10,O,Concurrent enrollment in CS 1713.004 is required.
OPEN,CS,1713,001,10344,Computer Programming II,  3,TR,2:30-3:45pm,Main Camp,NPB 1.202,Yuen, Timothy T.,08/26-12/13,17,65,64,1,Thu  Dec 12  12:30 pm - 03:00 pm  ,   $30,O,Concurrent enrollment in CS 1711.001 or CS 1711.002.
OPEN,CS,1713,002,17274,Computer Programming II,  3,MWF,9:00-9:50am,Main Camp,NPB 1.238,Desai, Kevin,08/26-12/13,17,60,51,9,Tue  Dec 10  07:00 am - 09:30 am  ,   $30,O,Concurrent enrollment in CS 1711.003 or CS 1711.004.
OPEN,CS,1713,003,16152,Computer Programming II,  3,MWF,1:00-1:50pm,Main Camp,NPB 1.202,Desai, Kevin,08/26-12/13,17,65,58,7,Tue  Dec 10  12:30 pm - 03:00 pm  ,   $30,O,Concurrent enrollment in CS 1711.005 or CS 1711.006.
CANCELED,CS,1713,004,24755,Computer Programming II,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,60,0,60,To be determined by instructor ,   $30,O,Concurrent enrollment in CS 1711.009 or CS 1711.010 is required.
OPEN,CS,2073,001,12913,Comp Prog W/Egr Application,  3,MW,6:00-7:15pm,Main Camp,NPB 1.238,Moradi, Hamidreza,08/26-12/13,17,60,58,2,Mon  Dec 09  06:00 pm - 08:30 pm  ,   $30,O, 
OPEN,CS,2121,001,12848,Data Structures Recitation,  1,M,11:00-11:50am,Main Camp,NPB 1.226,Sherette, Jonathan L.,08/26-12/13,17,30,28,2,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 2123.001 is required.
OPEN,CS,2121,002,12849,Data Structures Recitation,  1,W,11:00-11:50am,Main Camp,NPB 1.226,Sherette, Jonathan L.,08/26-12/13,17,30,18,12,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 2123.001 is required.
OPEN,CS,2121,003,14411,Data Structures Recitation,  1,M,1:00-1:50pm,Main Camp,NPB 1.226,Sherette, Jonathan L.,08/26-12/13,17,35,28,7,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 2123.002 is required.
OPEN,CS,2121,004,14412,Data Structures Recitation,  1,W,1:00-1:50pm,Main Camp,NPB 1.226,Sherette, Jonathan L.,08/26-12/13,17,35,30,5,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 2123.002 is required.
OPEN,CS,2121,005,23022,Data Structures Recitation,  1,T,1:00-1:50pm,Main Camp,NPB 1.226,Ku, Bernard S.,08/26-12/13,17,35,28,7,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 2123.003 is required.
OPEN,CS,2121,006,24643,Data Structures Recitation,  1,R,1:00-1:50pm,Main Camp,NPB 1.226,Ku, Bernard S.,08/26-12/13,17,35,28,7,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 2123.003 is required.
OPEN,CS,2121,007,23024,Data Structures Recitation,  1,T,11:30-12:20pm,Main Camp,NPB 1.226,Ku, Bernard S.,08/26-12/13,17,30,21,9,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 2123.004 is required.
OPEN,CS,2121,008,23025,Data Structures Recitation,  1,R,11:30-12:20pm,Main Camp,NPB 1.226,Ku, Bernard S.,08/26-12/13,17,30,15,15,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 2123.004 is required.
OPEN,CS,2123,001,12844,Data Structures,  3,MWF,9:00-9:50am,Main Camp,MH 3.04.08,Sherette, Jonathan L.,08/26-12/13,17,60,48,12,Tue  Dec 10  07:00 am - 09:30 am  ,   $30,KO,Concurrent enrollment in CS 2121.001 or CS 2121.002 is required.
OPEN,CS,2123,002,12846,Data Structures,  3,MWF,12:00-12:50pm,Main Camp,BB 3.03.02,Sherette, Jonathan L.,08/26-12/13,17,60,56,4,Fri  Dec 13  12:30 pm - 03:00 pm  ,   $30,KO,Concurrent enrollment in CS 2121.003 or CS 2121.004 is required.
OPEN,CS,2123,003,23027,Data Structures,  3,TR,11:30-12:45pm,Main Camp,MH 3.04.22,Ku, Bernard S.,08/26-12/13,17,60,56,4,Tue  Dec 10  09:45 am - 12:15 pm  ,   $30,KO,Concurrent enrollment in CS 2121.005 or CS 2121.006 is required.
OPEN,CS,2123,004,23851,Data Structures,  3,TR,10:00-11:15am,Main Camp,NPB 1.226,Ku, Bernard S.,08/26-12/13,17,50,36,14,Mon  Dec 09  09:45 am - 12:15 pm  ,   $30,KO,Concurrent enrollment in CS 2121.007 or CS 2121.008 is required.
OPEN,CS,2233,001,12855,Discrete Math Structures,  3,MWF,2:00-2:50pm,Main Camp,MH 3.02.18,Arafat, Imtiaz Muhammad M.,08/26-12/13,17,58,57,1,Mon  Dec 09  12:30 pm - 03:00 pm  ,   $30,DO, 
CLOSED,CS,2233,002,15681,Discrete Math Structures,  3,MWF,12:00-12:50pm,Main Camp,MH 2.02.10,Arafat, Imtiaz Muhammad M.,08/26-12/13,17,60,60,0,Fri  Dec 13  12:30 pm - 03:00 pm  ,   $30,DO, 
OPEN,CS,2233,003,21664,Discrete Math Structures,  3,MW,4:00-5:15pm,Main Camp,MH 2.02.04,Arafat, Imtiaz Muhammad M.,08/26-12/13,17,60,49,11,Wed  Dec 11  03:15 pm - 05:45 pm  ,   $30,DO, 
OPEN,CS,2233,004,25206,Discrete Math Structures,  3,TR,10:00-11:15am,Main Camp,MH 3.02.50,Chowdhury, Tanvir Irfan,08/26-12/13,17,48,19,29,Mon  Dec 09  09:45 am - 12:15 pm  ,   $30,DO, 
OPEN,CS,3113,001,24644,Principles of Cyber Security,  3,TBA,TBA,Internet, ,White, Gregory B.,08/26-12/13,17,85,75,10,To be determined by instructor ,  $105,O, 
OPEN,CS,3333,001,12859,Math Found of CS,  3,MWF,10:00-10:50am,Main Camp,BB 3.01.02,Boppana, Rajendra V.,08/26-12/13,17,75,74,1,Wed  Dec 11  07:00 am - 09:30 am  ,   $30,DO, 
OPEN,CS,3333,002,21666,Math Found of CS,  3,MWF,11:00-11:50am,Main Camp,BB 3.04.06,Boppana, Rajendra V.,08/26-12/13,17,70,69,1,Thu  Dec 12  09:45 am - 12:15 pm  ,   $30,DO, 
CANCELED,CS,3333,003,25207,Math Found of CS,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,49,0,49,To be determined by instructor ,   $30,DO, 
OPEN,CS,3343,001,10287,Analysis Of Algorithms,  3,TR,11:30-12:45pm,Main Camp,MH 2.02.16,Sherette, Jonathan L.,08/26-12/13,17,65,64,1,Tue  Dec 10  09:45 am - 12:15 pm  ,   $30,O, 
OPEN,CS,3343,002,19445,Analysis Of Algorithms,  3,TR,8:30-9:45am,Main Camp,BB 3.03.22,Sherette, Jonathan L.,08/26-12/13,17,64,60,4,Fri  Dec 13  09:45 am - 12:15 pm  ,   $30,O, 
OPEN,CS,3343,003,25036,Analysis Of Algorithms,  3,TR,4:00-5:15pm,Main Camp,BB 3.04.04,Chowdhury, Tanvir Irfan,08/26-12/13,17,40,17,23,Mon  Dec 09  03:15 pm - 05:45 pm  ,   $30,O, 
OPEN,CS,3421,001,12865,Systems Programming Recitation,  1,M,12:00-12:50pm,Main Camp,NPB 1.226,Slavin, Rocky L.,08/26-12/13,17,40,38,2,To be determined by instructor ,   $10,DKO,Concurrent enrollment in CS 3423.001 is required.
OPEN,CS,3421,002,14186,Systems Programming Recitation,  1,W,12:00-12:50pm,Main Camp,NPB 1.226,Slavin, Rocky L.,08/26-12/13,17,40,35,5,To be determined by instructor ,   $10,DKO,Concurrent enrollment in CS 3423.001 is required.
OPEN,CS,3421,003,15732,Systems Programming Recitation,  1,M,3:00-3:50pm,Main Camp,NPB 1.226,Slavin, Rocky L.,08/26-12/13,17,40,36,4,To be determined by instructor ,   $10,DKO,Concurrent enrollment in CS 3423.002 is required.
OPEN,CS,3421,004,16287,Systems Programming Recitation,  1,W,3:00-3:50pm,Main Camp,NPB 1.226,Slavin, Rocky L.,08/26-12/13,17,40,29,11,To be determined by instructor ,   $10,DKO,Concurrent enrollment in CS 3423.002 is required.
OPEN,CS,3421,005,20022,Systems Programming Recitation,  1,M,6:00-6:50pm,Main Camp,NPB 1.226,Silvestro, Sam A.,08/26-12/13,17,40,30,10,To be determined by instructor ,   $10,DKO,Concurrent enrollment in CS 3423.003 is required.
OPEN,CS,3421,006,20023,Systems Programming Recitation,  1,W,6:00-6:50pm,Main Camp,NPB 1.226,Silvestro, Sam A.,08/26-12/13,17,40,37,3,To be determined by instructor ,   $10,DKO,Concurrent enrollment in CS 3423.003 is required.
OPEN,CS,3421,007,25115,Systems Programming Recitation,  1,M,4:00-4:50pm,Main Camp,NPB 1.226,Silvestro, Sam A.,08/26-12/13,17,40,33,7,To be determined by instructor ,   $10,DKO,Concurrent enrollment in CS 3423.004 is required.
OPEN,CS,3421,008,25116,Systems Programming Recitation,  1,W,4:00-4:50pm,Main Camp,NPB 1.226,Silvestro, Sam A.,08/26-12/13,17,40,16,24,To be determined by instructor ,   $10,DKO,Concurrent enrollment in CS 3423.004 is required.
CLOSED,CS,3423,001,12864,Systems Programming,  3,MWF,11:00-11:50am,Main Camp,NPB 1.202,Slavin, Rocky L.,08/26-12/13,17,70,70,0,Thu  Dec 12  09:45 am - 12:15 pm  ,   $30,DKO,Concurrent enrollment in CS 3421.001 or CS 3421.002 is required.
OPEN,CS,3423,002,15731,Systems Programming,  3,MWF,2:00-2:50pm,Main Camp,NPB 1.202,Slavin, Rocky L.,08/26-12/13,17,70,67,3,Mon  Dec 09  12:30 pm - 03:00 pm  ,   $30,DKO,Concurrent enrollment in CS 3421.003 or CS 3421.004 is required.
OPEN,CS,3423,003,20024,Systems Programming,  3,MW,4:00-5:15pm,Main Camp,NPB 1.202,Silvestro, Sam A.,08/26-12/13,17,70,68,2,Wed  Dec 11  03:15 pm - 05:45 pm  ,   $30,DKO,Concurrent enrollment in CS 3421.005 or CS 3421.006 is required
OPEN,CS,3423,004,25114,Systems Programming,  3,MWF,3:00-3:50pm,Main Camp,BB 3.01.06,Silvestro, Sam A.,08/26-12/13,17,65,50,15,Thu  Dec 12  03:15 pm - 05:45 pm  ,   $30,DKO,Concurrent enrollment in CS 3421.007 or CS 3421.008 is required.
OPEN,CS,3433,001,13010,Computer and Info Security,  3,MWF,3:00-3:50pm,Main Camp,MH 2.02.06,Harrison, Keith B.,08/26-12/13,17,40,34,6,Thu  Dec 12  03:15 pm - 05:45 pm  ,   $30,BO,Prerequisites: CS 3423 and consent of instructor.
OPEN,CS,3443,001,16154,Application Programming,  3,TR,1:00-2:15pm,Main Camp,NPB 1.202,Chowdhury, Tanvir Irfan,08/26-12/13,17,75,72,3,Wed  Dec 11  09:45 am - 12:15 pm  ,   $30,O, 
OPEN,CS,3443,002,16164,Application Programming,  3,TR,4:00-5:15pm,Main Camp,NPB 1.202,Arafat, Imtiaz Muhammad M.,08/26-12/13,17,75,73,2,Mon  Dec 09  03:15 pm - 05:45 pm  ,   $30,O, 
OPEN,CS,3443,003,25208,Application Programming,  3,TR,6:00-7:15pm,Main Camp,NPB 1.202,Chowdhury, Tanvir Irfan,08/26-12/13,17,60,18,42,Tue  Dec 10  06:00 pm - 08:30 pm  ,   $30,O, 
CLOSED,CS,3723,001,20026,Programming Languages,  3,TR,11:30-12:45pm,Main Camp,NPB 1.202,O'Hara, Steven A.,08/26-12/13,17,75,75,0,Tue  Dec 10  09:45 am - 12:15 pm  ,   $30,O, 
CANCELED,CS,3723,002,19437,Programming Languages,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,60,0,60,To be determined by instructor ,   $30,O, 
OPEN,CS,3723,003,23792,Programming Languages,  3,TR,8:30-9:45am,Main Camp,NPB 1.202,O'Hara, Steven A.,08/26-12/13,17,75,72,3,To be determined by instructor ,   $30,O, 
OPEN,CS,3733,001,10121,Operating Systems,  3,TR,4:00-5:15pm,Main Camp,MH 2.02.04,Lama, Palden,08/26-12/13,17,60,59,1,Mon  Dec 09  03:15 pm - 05:45 pm  ,   $30,O, 
OPEN,CS,3733,002,20850,Operating Systems,  3,TR,8:30-9:45am,Main Camp,BB 3.04.06,Silvestro, Sam A.,08/26-12/13,17,60,45,15,Fri  Dec 13  09:45 am - 12:15 pm  ,   $30,O, 
CANCELED,CS,3733,003,25037,Operating Systems,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,60,0,60,To be determined by instructor ,   $30,O, 
OPEN,CS,3743,001,22513,Database Systems,  3,TR,8:30-9:45am,Main Camp,FLN 2.02.10,Clark, Larry W.,08/26-12/13,17,60,59,1,Fri  Dec 13  09:45 am - 12:15 pm  ,   $30,O, 
CANCELED,CS,3743,002,24645,Database Systems,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,60,0,60,To be determined by instructor ,   $30,O, 
OPEN,CS,3753,001,22270,Data Science,  3,TR,10:00-11:15am,Main Camp,NPB 1.238,Ruan, Jianhua,08/26-12/13,17,60,55,5,Mon  Dec 09  09:45 am - 12:15 pm  ,   $30,O, 
OPEN,CS,3753,002,23857,Data Science,  3,TR,2:30-3:45pm,Main Camp,MH 3.04.08,Ruan, Jianhua,08/26-12/13,17,39,32,7,Thu  Dec 12  12:30 pm - 03:00 pm  ,   $30,O,Cross-listed with CS 5163.001. Credit can only be earned for one of these classes.
OPEN,CS,3773,001,21669,Software Engineering,  3,MWF,10:00-10:50am,Main Camp,NPB 1.238,Wang, Xiaoyin,08/26-12/13,17,60,48,12,Wed  Dec 11  07:00 am - 09:30 am  ,   $30,DO, 
OPEN,CS,3773,002,20028,Software Engineering,  3,TR,11:30-12:45pm,Main Camp,NPB 1.238,Qin, Xue,08/26-12/13,17,60,47,13,Tue  Dec 10  09:45 am - 12:15 pm  ,   $30,DO, 
CANCELED,CS,3793,001,23028,Artificial Intelligence,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,57,0,57,To be determined by instructor ,   $30,O, 
OPEN,CS,3793,002,24751,Artificial Intelligence,  3,TR,6:00-7:15pm,Main Camp,FLN 2.02.06,Desai, Kevin,08/26-12/13,17,60,56,4,Tue  Dec 10  06:00 pm - 08:30 pm  ,   $30,O, 
OPEN,CS,3841,001,12869,Comp Org Recitation,  1,T,1:00-1:50pm,Main Camp,MH 3.02.50,Clark, Larry W.,08/26-12/13,17,32,26,6,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 3843.001 is required.
OPEN,CS,3841,002,14450,Comp Org Recitation,  1,R,1:00-1:50pm,Main Camp,BB 3.03.14,Clark, Larry W.,08/26-12/13,17,32,5,27,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 3843.001 is required.
OPEN,CS,3841,003,18125,Comp Org Recitation,  1,T,2:30-3:20pm,Main Camp,NPB 1.226,Clark, Larry W.,08/26-12/13,17,50,44,6,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 3843.002 is required.
OPEN,CS,3841,004,19045,Comp Org Recitation,  1,R,2:30-3:20pm,Main Camp,NPB 1.226,Clark, Larry W.,08/26-12/13,17,50,49,1,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 3843.002 is required.
OPEN,CS,3841,005,25136,Comp Org Recitation,  1,T,10:00-10:50am,Main Camp,NPB 4.140,Clark, Larry W.,08/26-12/13,17,30,17,13,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 3843.002 is required.
OPEN,CS,3841,006,25137,Comp Org Recitation,  1,R,10:00-10:50am,Main Camp,NPB 4.140,Clark, Larry W.,08/26-12/13,17,30,11,19,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 3843.002 is required.
CANCELED,CS,3841,007,25239,Comp Org Recitation,  1,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,30,0,30,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 3843.002 is required.
CANCELED,CS,3841,008,25240,Comp Org Recitation,  1,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,30,0,30,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 3843.002 is required.
OPEN,CS,3843,001,12866,Computer Organization,  3,TR,11:30-12:45pm,Main Camp,MH 3.04.14,Clark, Larry W.,08/26-12/13,17,55,52,3,Tue  Dec 10  09:45 am - 12:15 pm  ,   $30,KO,Concurrent enrollment in CS 3841.001 or CS 3841.002 is required.
OPEN,CS,3843,002,18123,Computer Organization,  3,TR,1:00-2:15pm,Main Camp,BB 2.01.10,Clark, Larry W.,08/26-12/13,17,105,100,5,Wed  Dec 11  09:45 am - 12:15 pm  ,   $30,KO,Concurrent enrollment in CS 3841.003  CS 3841.004  CS 3841.005  or CS 3841.006 is required.
CANCELED,CS,3843,003,25135,Computer Organization,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,55,0,55,To be determined by instructor ,   $30,KO,Concurrent enrollment in CS 3841.005 or CS 3841.006 is required.
OPEN,CS,3853,001,12870,Computer Architecture,  3,MW,7:30-8:45pm,Main Camp,MH 2.01.30,Ortiz, John A.,08/26-12/13,17,75,57,18,Wed  Dec 11  06:00 pm - 08:30 pm  ,   $30,O, 
CLOSED,CS,3853,002,20033,Computer Architecture,  3,TR,2:30-3:45pm,Main Camp,NPB 1.238,Ku, Bernard S.,08/26-12/13,17,60,60,0,Thu  Dec 12  12:30 pm - 03:00 pm  ,   $30,O, 
CANCELED,CS,3853,003,25038,Computer Architecture,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,60,0,60,To be determined by instructor ,   $30,O, 
OPEN,CS,3873,001,20832,Computer Networks,  3,MW,7:30-8:45pm,Main Camp,NPB 1.238,Jadliwala, Murtuza,08/26-12/13,17,50,40,10,Wed  Dec 11  06:00 pm - 08:30 pm  ,   $30,O, 
OPEN,CS,4233,001,23168,Intro to Comp Biology,  3,S,11:00-1:45pm,Main Camp,NPB 1.238,Al Nasr, Kamal,08/26-12/13,17,46,19,27,Sat  Dec 07  09:45 am - 12:15 pm  ,   $30,O,Cross-listed with CS 5263.  Credit can only be earned for one of these classes.
OPEN,CS,4413,001,24997,Web Technologies,  3,MWF,3:00-3:50pm,Main Camp,NPB 1.238,O'Hara, Steven A.,08/26-12/13,17,60,58,2,Thu  Dec 12  03:15 pm - 05:45 pm  ,   $30,O, 
CLOSED,CS,4423,001,22329,Game Development,  3,TR,4:00-5:15pm,Main Camp,NPB 1.238,Quarles, John P.,08/26-12/13,17,60,60,0,Mon  Dec 09  03:15 pm - 05:45 pm  ,   $30,O, 
OPEN,CS,4593,002,23674,T: Blockchains,  3,MW,4:00-5:15pm,Main Camp,MH 3.04.12,Xu, Shouhuai,08/26-12/13,17,40,0,40,Wed  Dec 11  03:15 pm - 05:45 pm  ,   $30,BO,Cross-listed with CS 6393.001. Credit can only be earned for one on these classes.
OPEN,CS,4593,006,24646,T: Steganography,  3,MW,6:00-7:15pm,Main Camp,MH 3.02.18,Ortiz, John A.,08/26-12/13,17,50,20,30,Mon  Dec 09  06:00 pm - 08:30 pm  ,   $30,BO, 
OPEN,CS,4593,007,24647,T: Senior Design,  3,TR,7:30-8:45pm,Main Camp,NPB 1.238,Robinson, Mark A.,08/26-12/13,17,40,20,20,Thu  Dec 12  06:00 pm - 08:30 pm  ,   $30,BO, 
CANCELED,CS,4593,008,24649,Adv Prog & Data Stctr (non-CS),  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,40,0,40,To be determined by instructor ,   $30,BO,This course is a bridge course for non-CS Major and does not count towards a CS degree.
OPEN,CS,4663,001,22272,Distributed and Cloud Security,  3,MWF,2:00-2:50pm,Main Camp,NPB 1.238,Gomez-Morales, Mauricio Alejandro,08/26-12/13,17,40,29,11,Mon  Dec 09  12:30 pm - 03:00 pm  ,   $30,O, 
OPEN,CS,4723,001,20675,Software Val and Qual Assur,  3,MW,6:00-7:15pm,Main Camp,MH 3.03.20,Wang, Xiaoyin,08/26-12/13,17,30,26,4,Mon  Dec 09  06:00 pm - 08:30 pm  ,   $30,O,Cross-listed with CS 5123.001. Credit can only be earned for one on these classes.
OPEN,CS,4743,001,23031,Enterprise Software Engineerng,  3,TR,1:00-2:15pm,Main Camp,NPB 1.238,Robinson, Mark A.,08/26-12/13,17,60,49,11,Wed  Dec 11  09:45 am - 12:15 pm  ,   $30,O, 
OPEN,CS,4773,001,21676,Object Oriented Systems,  3,TR,10:00-11:15am,Main Camp,FLN 2.02.06,Robinson, Mark A.,08/26-12/13,17,72,68,4,Mon  Dec 09  09:45 am - 12:15 pm  ,   $30,O, 
OPEN,CS,4833,001,23032,Embedded Systems,  3,S,2:00-4:45pm,Main Camp,NPB 4.140,Zhu, Dakai,08/26-12/13,17,20,15,5,Sat  Dec 07  12:30 pm - 03:00 pm  ,   $30,O, 
CANCELED,CS,4843,001,23033,Cloud Computing,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,40,0,40,To be determined by instructor ,   $30,O, 
OPEN,CS,4911,001,23362,Independent Study,  1,TBA,TBA,Main Camp, ,Sherette, Jonathan L.,08/26-12/13,17,130,3,127,To be determined by instructor ,   $10,GO,Substitutes for CS 3341 (Analysis of Algorithms Recitation).
OPEN,CS,4911,002,23363,Independent Study,  1,TBA,TBA,Main Camp, ,Zhu, Dakai,08/26-12/13,17,130,13,117,To be determined by instructor ,   $10,GO,Substitutes for CS 3731 (Operating Systems Recitation)
OPEN,CS,4911,003,23364,Independent Study,  1,TBA,TBA,Main Camp, ,Wang, Wei,08/26-12/13,17,130,15,115,To be determined by instructor ,   $10,GO,Substitutes for CS 3851 (Computer Architecture Recitation)
